ID,movie_ID,person_ID,characterName,isLeadRole,createdAt,createdBy,modifiedAt,modifiedBy
CAST100,C8B18FAD-F7D7-8EA8-8120-A5B311A7C7EF,C0FCEA30-11B0-D720-47B6-EBA426D2EAC8,Hero,true,2024-06-01T10:05:00Z,admin,2024-06-01T10:05:00Z,admin
CAST101,E743D529-1154-6F78-1F3A-C1F9724F5795,8D3FEA40-22C1-E831-58C7-FCB537E3BDA9,Commander Jax Rylon,true,2024-06-05T11:20:00Z,admin,2024-06-05T11:20:00Z,admin
CAST102,E743D529-1154-6F78-1F3A-C1F9724F5795,9E4GDB51-33D2-F942-69D8-GDC648F4CBE0,Lt. Mira Voss,true,2024-06-05T11:21:00Z,admin,2024-06-10T14:30:00Z,editor
CAST103,E743D529-1154-6F78-1F3A-C1F9724F5795,0F5HEC62-44E3-GA53-70E9-HED759G5DCF1,Dr. Eliott Cross,false,2024-06-05T11:22:00Z,admin,2024-06-05T11:22:00Z,admin
CAST104,E743D529-1154-6F78-1F3A-C1F9724F5795,A6B7CD83-55F4-HB64-81F0-IFE86AH6EGH2,Detective Mark Slade,true,2024-06-07T09:15:00Z,admin,2024-06-12T16:45:00Z,editor
CAST105,E743D529-1154-6F78-1F3A-C1F9724F5795,B7C8DE94-66G5-IC75-92G1-JGF97BI7FHI3,Ana Cortez,true,2024-06-07T09:16:00Z,admin,2024-06-07T09:16:00Z,admin
CAST106,B12DFC2C-146D-28AB-36E5-5DC242DADE94,C8D9EF05-77H6-JD86-A3H2-KHG08CJ8GIJ4,Jack Wilder,true,2024-06-10T14:00:00Z,admin,2024-06-18T10:15:00Z,editor
CAST107,B12DFC2C-146D-28AB-36E5-5DC242DADE94,D9E0FG16-88I7-KE97-B4I3-LIH19DK9HJK5,Lisa Chen,false,2024-06-10T14:01:00Z,admin,2024-06-10T14:01:00Z,admin
CAST108,A742FA6D-C6B2-1003-659D-2AC6C77299CB,E0F1GH27-99J8-LF08-C5J4-MJI20EL0IKL6,Elsa Frost,true,2024-06-12T10:30:00Z,admin,2024-06-12T10:30:00Z,admin
CAST109,39BB2044-5993-7D86-F1B8-315B34B76DD9,F1G2HI38-00K9-MG19-D6K5-NKJ31FM1JLM7,Victor Kane,true,2024-06-15T13:45:00Z,admin,2024-06-17T09:20:00Z,editor
CAST110,39BB2044-5993-7D86-F1B8-315B34B76DD9,G2H3IJ49-11L0-NH20-E7L6-OLK42GN2KMN8,Sarah Miller,false,2024-06-15T13:46:00Z,admin,2024-06-15T13:46:00Z,admin
